Type,Name,Group,Monthly Amount,Target,Current,Annual Rate %
Income,Salary (after tax),,5200.00,,,
Income,Side hustle (irregular average),,180.00,,,
Expense,Rent — downtown 1 bedroom,home,1950.00,,,
Expense,Renters insurance,home,32.00,,,
Expense,Electricity & heat,home,145.00,,,
Expense,Internet (gigabit),home,120.00,,,
Expense,Mobile phone (unlimited flagship plan),home,115.00,,,
Expense,Smart home & security subscription,home,45.00,,,
Expense,Furniture & décor impulse buys,home,180.00,,,
Expense,Groceries,food,480.00,,,
Expense,Meal kit delivery,food,260.00,,,
Expense,Food delivery apps,food,340.00,,,
Expense,Specialty coffee (daily),food,175.00,,,
Expense,Snack boxes & convenience food,food,90.00,,,
Expense,Car payment (recent lease upgrade),transport,565.00,,,
Expense,Car insurance,transport,245.00,,,
Expense,Premium fuel,transport,220.00,,,
Expense,Downtown parking,transport,285.00,,,
Expense,Rideshare & taxis,transport,190.00,,,
Expense,Car washes & detailing,transport,65.00,,,
Expense,Boutique fitness studio,health,160.00,,,
Expense,Unused gym membership,health,75.00,,,
Expense,Supplements & wellness apps,health,85.00,,,
Expense,Spa & massage,health,140.00,,,
Expense,Designer clothing & sneakers,personal,320.00,,,
Expense,Online shopping (misc),personal,275.00,,,
Expense,Gadgets & electronics,personal,200.00,,,
Expense,Hair colour & salon,personal,120.00,,,
Expense,Streaming stacks (video music gaming),personal,95.00,,,
Expense,Cloud storage & app subscriptions,personal,55.00,,,
Expense,Household supplies (premium brands),personal,70.00,,,
Expense,Restaurants & tasting menus,joy,480.00,,,
Expense,Bars cocktails & nightlife,joy,310.00,,,
Expense,Concerts festivals & VIP tickets,joy,220.00,,,
Expense,Weekend getaways,joy,350.00,,,
Expense,Hobby gear upgrades,joy,150.00,,,
Expense,Gifts that go overboard,joy,110.00,,,
Expense,Pet boutique food & accessories,family,95.00,,,
Expense,Bank & overdraft fees,financial,42.00,,,
Expense,Credit card interest (revolving),financial,185.00,,,
Debt,Credit card balance,,350.00,,8200.00,22.99
